text,neutral,positive,negative,narrator,y
"η Ήρα, κι εγώ όλα που μελέτησες θα τα γνοιαστώ να γενούν.",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"Ομπρός λοιπόν, με το κεφάλι μου θα γνέψω, να πιστέψεις'",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
τι αυτό είναι μέσα στους αθάνατους το πιο τρανό από μένα,0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
σημάδι᾿ τι είναι αμεταγύριστος κι αψεύτιστος και βγαίνει,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"το δίχως άλλο πάντα ο λόγος μου, με το κεφάλι ως γνέψω.»",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
"Είπε, και με τα φρύδια του έγνεψε τα μαύρα ο γιος του Κρόνου,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι οι θείες με ορμήν αναταράχτηκαν οι χήτες στο κεφάλι,0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"το αθάνατο, και ριζοτράνταξε τον Όλυμπο το μέγα.",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
"Σαν έτσι οι δυο τους τα συνταίριαξαν, χωρίζουν στου πελάγου",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"πηδά τα βάθη από τον Όλυμπο το φωτοβόλο εκείνη,",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"κι ο Δίας τραβούσε στο παλάτι του, κι όλοι μαζί ασκωθήκαν",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
απ᾿ τα θρονιά οι θεοί᾿ δεν τόλμησε στον κύρη ομπρός κανένας,0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"να μείνει καθιστός, ως ζύγωνε, μόν᾿ στάθηκαν μπροστά του.",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
Κι αυτός στο θρόνο τότε εκάθισε. Δεν είχε όμως ξεφύγει,0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"της Ήρας τη ματιά, και το 'ξερε πως μίλησε μαζί του",0.375,0.25,0.375,0.0,"[0.375, 0.25, 0.375, 0.0]"
"η Θέτη, η κόρη η χιοναστράγαλη του θαλασσογερόντου·",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"κι ευτύς στο γιο του Κρόνου εγύρισε, μιλά και τον κεντρίζει:",0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"«Ποιος πάλε απ᾿ τους θεούς, δολόγνωμε, τα ταίριαξε μαζί σου;",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
Πάντα σου αρέσει αλήθεια αλάργα μου καθούμενος να κλώθεις,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"διαλογισμούς κρυφούς κι απόφασες να παίρνεις, και ποτέ σου",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
το που 'βαλες στο νου δε θέλησες να μου το πεις και μένα.»,0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
Κι απηλογήθη των αθάνατων και των θνητών ο κύρης:,0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"«Ήρα, το κάθε που στοχάζομαι καθόλου μην τ᾿ ολπίζεις",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"να σου το φανερώνω᾿ δύσκολο, γυναίκα μου κι ας είσαι.",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
"Αλήθεια, ό,τι είναι που δε θα 'βλαφτε να μαθευτεί, κανένας",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"πριν από σένα, μήτε αθάνατος μήτε θνητός, θα μάθει.",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"Μα αυτό που χώρια απ᾿ τους αθάνατους στο νου μου εγώ θα βάλω,",0.25,0.5,0.25,0.0,"[0.25, 0.5, 0.25, 0.0]"
μη θες να το ρωτάς ανώφελα και μην ψιλοσκαλίζεις.»,0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
και τότε η σεβαστή του απάντησε βοϊδομάτη Ήρα κι είπε:,0.625,0.25,0.125,0.0,"[0.625, 0.25, 0.125, 0.0]"
"« Ύγιέ του Κρόνου τρομερότατε, τι λόγια αυτά που κρένεις;",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"Ποτέ να σε ρωτώ δε θέλησα και να ψιλοσκαλίζω,",0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"μόν᾿ ό,τι θες μπορείς ανέγνοιαστα να στοχαστείς μονάχος.",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
"Μα τώρα τρέμω μες στα σπλάχνα μου, μη σ᾿ έχει καταφέρει",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"η Θέτη, η κόρη η χιοναστράγαλη του θαλασσογερόντου·",0.25,0.375,0.375,0.0,"[0.25, 0.375, 0.375, 0.0]"
"τι σύναυγα κοντά σου εκάθισε και σου 'πιάσε τα γόνα,",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
κι αλήθεια εσύ θαρρώ της έταξες στον Αχιλλέα να δώσεις,0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"τιμή, κι Αργίτες γύρω στ᾿ άρμενα περίσσιους ν᾿ αφανίσεις.»",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
και τότε ο Δίας της άποκρίθηκεν ο νεφελοστοιβάχτης:,0.625,0.125,0.25,0.0,"[0.625, 0.125, 0.25, 0.0]"
«Δαιμονισμένη! Πάντα το κακό στο νου σου! Δε γλιτώνω!,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"όμως χαμένοι πάνε οι κόποι σου, και μόνο απ᾿ την καρδιά μου",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"μακραίνεις. Τόσο το χειρότερο για σένα, λέω. Κι αν έτσι",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"μαθές ως τα 'πες τούτα εγίνηκαν, έτσι μου αρέσει εμένα!",0.0,0.375,0.625,0.0,"[0.0, 0.375, 0.625, 0.0]"
"Μόν᾿ κάθου κι άκουε κάθε λόγο μου, και μη μου βγάζεις άχνα,",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"μην έρθω αυτού και ρίξω απάνω σου τ᾿ ανίκητα μου χέρια,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
και τότε πια δε θα σε γλίτωναν όλοι οι θεοί του Ολύμπου.»,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"Ετσι είπε, κι η σεβάσμια δείλιασε βοϊδομάτη Ήρα ομπρός του,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
και κόμπο την καρδιά της δένοντας δίχως μιλιά εκαθόταν,0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
μα κι οί άλλοι αθάνατοι επικράθηκαν στου Δία το αρχονταρίκι.,0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"Τότε ο λαμπρός τεχνίτης Ήφαιστος πήρε να λέει μπροστά τους,",0.375,0.375,0.25,0.0,"[0.375, 0.375, 0.25, 0.0]"
"για να γλυκάνει τη μητέρα του, την κρουσταλλόχερη Ήρα:",0.125,0.75,0.125,0.0,"[0.125, 0.75, 0.125, 0.0]"
"«Ώχού μπελάδες που μας πλάκωσαν αβάσταχτοι, αν οι δυο σας",0.0,0.25,0.625,0.125,"[0.0, 0.25, 0.625, 0.125]"
"για τους θνητούς εδώ συχύζεστε, κι αμάχες και φοβέρες",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"μες στους αθάνατους ασκώνετε, και μήτε θα χαρούμε",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"γλυκό ψωμί, τι αλήθεια δαίμονας κακός μας δυναστεύει.",0.0,0.25,0.75,0.0,"[0.0, 0.25, 0.75, 0.0]"
"Μια γνώμη θα 'δινα στη μάνα μου, κι ας το νογάει κι ατή της:",0.125,0.625,0.25,0.0,"[0.125, 0.625, 0.25, 0.0]"
"το Δία τον κύρη να καλόπιανε, να μην αρχίσει πάλε",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"μαλώματα και το τραπέζι μας κάμει άνω κάτω, ως τρώμε᾿",0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
τι αν θέλει του Ολύμπου ο αστραπόχαρος αφέντης απ᾿ τους θρήνους,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
να μας πετάξει... τι στη δύναμη πολύ τρανότερος μας.,0.0,0.5,0.5,0.0,"[0.0, 0.5, 0.5, 0.0]"
"Μόν᾿ έλα τώρα εσύ, καλόπιασ᾿ τον και γλυκομίλησέ του,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
και τότε ευτύς ο αφέντης του Ολύμπου θα 'ναι καλός μαζί μας.»,0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"Έτσι είπε, και πηδώντας έβαλε στης ακριβής του μάνας",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"τα χέρια κούπα διπλογούβωτη, κι αυτά της λέει τα λόγια:",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"« Υπομονέψου τώρα, μάνα μου, βαστά, κι ας έχεις πίκρα,",0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
μη λάχει και σε ιδώ να δέρνεσαι και δεν μπορέσω χέρι,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"να δώσω, μ᾿ όλη την αγάπη μου, κι ας σε πονά η καρδιά μου·",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
τι αλί σε κείνον που με του Ολύμπου το ρήγα θα τα βάλει!,0.0,0.625,0.375,0.0,"[0.0, 0.625, 0.375, 0.0]"
"Κι άλλη φορά, που να 'ρθω θέλησα βοηθός σου, από το πόδι",0.125,0.5,0.375,0.0,"[0.125, 0.5, 0.375, 0.0]"
μ᾿ έπιασε αυτός κι από το αθάνατο με πέταξε κατώφλι',0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"όλη τη μέρα, ως το βασίλεμα του γήλιου, εγκρεμιζόμουν,",0.125,0.25,0.625,0.0,"[0.125, 0.25, 0.625, 0.0]"
"ως πού στη Λήμνο πια σωριάστηκα με την ψυχή στο στόμα,",0.125,0.375,0.5,0.0,"[0.125, 0.375, 0.5, 0.0]"
"κι ευτύς, ως έπεσα, με πήρανε να με γνοιαστούν οι Σίντες.»",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
"Έτσι είπε, κι η θεά αχνογέλασεν, η κρουσταλλόχερη Ήρα,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
κι αχνογελώντας μες στα χέρια της πήρε απ᾿ το γιο την κούπα.,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
Κι αυτός απ᾿ το κροντήρι ανάσερνε και μοίραζε στους άλλους,0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
—δεξιά μεριά—θεούς αθάνατο γλυκό κρασί να πιούνε.,0.0,0.875,0.125,0.0,"[0.0, 0.875, 0.125, 0.0]"
"Κι άσβηστο γέλιο τότε άσκώθηκε μες στους μακαρισμένους,",0.0,0.75,0.25,0.0,"[0.0, 0.75, 0.25, 0.0]"
λαχανιαστό να ιδούν τον Ήφαιστο τα πόδια του να σέρνει.,0.25,0.25,0.5,0.0,"[0.25, 0.25, 0.5, 0.0]"
"Τότε έτσι εκείνοι, ως που εβασίλεψεν ο γήλιος, όλη μέρα",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"έτρωγαν, κι είχεν, ως έταίριαζε, καθείς το μερτικό του'",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
"μήτε η γλυκιά κιθάρα απόλειπε στου Απόλλωνα τα χέρια,",0.125,0.625,0.125,0.125,"[0.125, 0.625, 0.125, 0.125]"
"μήτε κι οί Μούσες, που γλυκόφωνα με τη σειρά έτραγούδουν.",0.375,0.5,0.125,0.0,"[0.375, 0.5, 0.125, 0.0]"
"Και σύντας του ήλιου πια βασίλεψε το φως το αχτιδοβόλο,",0.0,0.0,0.0,1.0,"[0.0, 0.0, 0.0, 1.0]"
"καθένας στο δικό του ετράβηξε το αρχοντικό να γείρει,",0.25,0.625,0.125,0.0,"[0.25, 0.625, 0.125, 0.0]"
"κει που 'χε χτίσει στον καθένα τους παλάτι ο κουτσοπόδης,",0.375,0.625,0.0,0.0,"[0.375, 0.625, 0.0, 0.0]"
"ο ξακουστός τεχνίτης Ήφαιστος, με τη σοφή του τέχνη.",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"Κι ο Δίας ο Ολύμπιος, ό αστραπόχαρος, στην κλίνη του τραβούσε,",0.25,0.75,0.0,0.0,"[0.25, 0.75, 0.0, 0.0]"
"εκεί που ως τώρα πάντα, ως του 'ρχονταν ύπνος γλυκός, κοιμόταν",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
"κει πάνω ανέβη, κι η χρυσόθρονη σιμά του επλάγιαζε Ήρα.",0.125,0.875,0.0,0.0,"[0.125, 0.875, 0.0, 0.0]"
